ACCOUNT_NO.,ACCOUNT_NAME,SCHEME_TYPE,CLS_BALANCE,AMOUNT,INT_RATE,ACCT_OPEN_DATE  OPEN_EFFECTIVE_DATE,MATURITY_DATE,CRNCY,USD_AMOUNT
LA500300013922,GLOBUS BANK LIMITED WIRE CLEAR,LAA,"-167,037.95",167037.95,9.62,3/14/2022,2022-09-21,USD,167037.95
LA500300013924,GLOBUS BANK LIMITED WIRE CLEAR,LAA,"-44,500.00",44500.0,8.95,3/15/2022,2022-09-12,USD,44500.0
LA500300013925,FIRST CITY MONUMENT BANK PLC,LAA,"-899,596.25",899596.25,5.88,3/15/2022,2022-09-06,USD,899596.25
LA500300013926,FIRST CITY MONUMENT BANK PLC,LAA,"-1,042,698.00",1042698.0,5.88,3/15/2022,2022-09-06,USD,1042698.0
LA500300013927,FIRST CITY MONUMENT BANK PLC,LAA,"-476,504.73",476504.73,5.92,3/16/2022,2022-09-12,USD,476504.73
LA500300013928,FIRST CITY MONUMENT BANK PLC,LAA,"-1,228,675.40",1228675.4,5.98,3/17/2022,2022-09-06,USD,1228675.4
LA500300013929,FIRST CITY MONUMENT BANK PLC,LAA,"-1,304,663.99",1304663.99,5.98,3/17/2022,2022-09-06,USD,1304663.99
LA500300013930,FIRST CITY MONUMENT BANK PLC,LAA,"-278,757.00",278757.0,5.98,3/17/2022,2022-09-06,USD,278757.0
LA500300013932,FIRST CITY MONUMENT BANK PLC,LAA,"-471,000.00",471000.0,6,3/18/2022,2022-09-06,USD,471000.0
LA500300013933,FIRST CITY MONUMENT BANK PLC,LAA,"-97,895.12",97895.12,6,3/18/2022,2022-09-12,USD,97895.12
LA500300013937,STERLING BANK PLC,LAA,"-249,438.76",249438.76,7.02,3/21/2022,2022-07-19,USD,249438.76
LA500300013938,ACCESS BANK NIGERIA PLC,LAA,"-5,947,998.49",5947998.49,5.12,3/21/2022,2022-09-16,EUR,5920637.696946
